global_topic_cluster,slice,count
28,c0000_r0000,0
28,c0004_r0002,0
28,c0007_r0002,0
28,c0007_r0001,0
29,c0004_r0000,10
29,c0004_r0004,5
29,c0007_r0002,2
29,c0006_r0001,2
29,noise,1
29,c0004_r0003,1
29,c0003_r0000,1
29,c0007_r0001,1
29,OTHER,3
3,c0003_r0000,3
3,c0004_r0004,3
3,c0004_r0003,2
3,c0002_r0000,2
3,c0006_r0000,2
3,c0004_r0001,1
3,c0007_r0001,1
3,c0004_r0000,1
30,c0004_r0002,10
30,c0004_r0000,7
30,c0001_r0000,7
30,c0003_r0002,3
30,c0004_r0001,2
30,c0006_r0001,2
30,c0004_r0003,2
30,c0004_r0004,2
30,OTHER,4
31,c0004_r0003,8
31,c0004_r0002,4
31,c0007_r0002,1
31,c0004_r0004,1
31,c0004_r0000,1
31,c0001_r0000,1
31,c0000_r0000,0
31,c0007_r0001,0
32,c0006_r0001,4
32,c0004_r0003,4
32,c0004_r0000,4
32,c0004_r0001,2
32,c0004_r0002,2
32,c0007_r0002,1
32,c0007_r0001,0
32,c0007_r0000,0
33,c0004_r0000,9
33,c0004_r0004,5
33,c0004_r0003,4
33,c0003_r0006,3
33,c0003_r0002,2
33,c0006_r0000,2
33,c0005_r0000,1
33,c0003_r0000,1
33,OTHER,2
34,c0004_r0004,25
34,c0004_r0002,15
34,c0004_r0000,6
34,c0004_r0003,4
34,c0003_r0001,3
34,c0007_r0002,1
34,c0003_r0000,1
34,c0007_r0001,1
34,OTHER,3
35,c0004_r0004,20
35,c0006_r0001,9
35,c0004_r0000,6
35,c0007_r0002,5
35,c0003_r0000,3
35,c0004_r0002,2
35,c0004_r0003,2
35,c0004_r0001,1
35,OTHER,1
36,c0004_r0000,4
36,c0006_r0001,3
36,c0004_r0004,3
36,c0007_r0002,2
36,c0007_r0001,2
36,c0004_r0001,1
36,c0004_r0002,0
36,c0007_r0000,0
37,c0004_r0004,7
37,c0004_r0003,5
37,c0006_r0001,5
37,c0004_r0000,5
37,c0004_r0001,3
37,c0007_r0002,2
37,c0003_r0000,2
37,c0007_r0001,1
37,OTHER,2
38,c0004_r0003,12
38,c0004_r0000,5
38,c0007_r0000,3
38,c0004_r0001,2
38,c0003_r0000,2
38,c0006_r0001,2
38,c0003_r0006,2
38,c0005_r0000,1
38,OTHER,5
39,c0006_r0001,4
39,c0003_r0006,3
39,c0003_r0002,2
39,c0004_r0002,2
39,c0004_r0000,2
39,c0004_r0001,1
39,c0007_r0002,1
39,c0004_r0004,1
39,OTHER,2
4,c0006_r0000,14
4,c0004_r0003,5
4,c0004_r0000,5
4,c0001_r0000,4
4,c0004_r0002,3
4,c0006_r0001,2
4,c0007_r0000,1
4,c0004_r0004,1
40,c0004_r0003,8
40,c0006_r0001,3
40,c0004_r0002,2
40,c0007_r0001,2
40,c0004_r0000,2
40,c0002_r0000,1
40,c0007_r0002,1
40,c0004_r0004,1
41,c0006_r0001,6
41,c0004_r0000,6
41,c0007_r0002,4
41,c0003_r0006,3
41,c0000_r0000,1
41,c0003_r0005,1
41,c0007_r0001,1
41,noise,1
41,OTHER,1
42,c0006_r0001,11
42,c0004_r0000,5
42,c0004_r0003,3
42,c0003_r0004,1
42,c0003_r0005,1
42,c0004_r0004,1
42,c0000_r0000,0
42,c0007_r0002,0
43,c0004_r0002,6
43,c0003_r0000,4
43,c0004_r0000,3
43,c0004_r0001,2
43,c0006_r0001,2
43,c0004_r0004,2
43,c0007_r0002,1
43,c0005_r0000,1
43,OTHER,1
44,c0004_r0000,7
44,c0006_r0001,3
44,c0003_r0006,3
44,c0007_r0002,2
44,c0001_r0000,2
44,c0004_r0004,1
44,c0002_r0000,1
44,c0003_r0000,1
44,OTHER,2
45,c0006_r0001,10
45,c0007_r0001,5
45,c0004_r0000,5
45,c0005_r0000,4
45,c0003_r0001,2
45,c0004_r0004,2
45,c0000_r0000,1
45,c0003_r0006,1
45,OTHER,3
46,c0006_r0001,6
46,c0005_r0000,5
46,c0004_r0004,3
46,c0004_r0000,2
46,c0004_r0002,2
46,c0007_r0002,1
46,c0003_r0005,1
46,c0001_r0000,1
47,c0004_r0003,8
47,c0004_r0000,5
47,c0004_r0004,4
47,c0007_r0001,2
47,c0004_r0002,1
47,c0003_r0000,1
47,c0007_r0000,1
47,c0000_r0000,0
48,c0004_r0003,8
48,c0001_r0000,6
48,c0004_r0002,4
48,c0000_r0000,0
48,c0007_r0002,0
48,c0007_r0001,0
48,c0007_r0000,0
48,c0006_r0001,0
49,c0004_r0003,12
49,c0004_r0002,3
49,c0004_r0000,3
49,c0005_r0000,2
49,c0004_r0004,2
49,noise,1
49,c0002_r0000,1
49,c0006_r0001,1
5,c0007_r0002,6
5,c0004_r0000,5
5,c0006_r0001,2
5,c0007_r0001,1
5,c0007_r0000,1
5,c0000_r0000,0
5,c0004_r0002,0
5,c0006_r0000,0
50,c0004_r0000,7
50,c0006_r0001,5
50,c0007_r0002,3
50,c0004_r0002,3
50,c0007_r0001,2
50,c0000_r0000,1
50,c0003_r0002,1
50,c0004_r0004,1
50,OTHER,1
51,c0006_r0001,13
51,c0004_r0000,5
51,c0004_r0002,2
51,c0007_r0001,2
51,c0000_r0000,1
51,c0007_r0002,1
51,c0003_r0000,1
51,c0007_r0000,1
51,OTHER,1
52,c0002_r0000,9
52,c0004_r0001,3
52,c0006_r0001,3
52,c0007_r0001,1
52,c0004_r0000,1
52,c0004_r0002,0
52,c0007_r0002,0
52,c0007_r0000,0
53,c0006_r0001,28
53,c0007_r0002,4
53,c0007_r0001,4
53,c0004_r0000,4
53,c0000_r0000,2
53,c0005_r0000,2
53,c0002_r0000,2
53,c0003_r0000,1
53,OTHER,6
54,c0004_r0000,16
54,c0007_r0001,4
54,c0000_r0000,3
54,c0007_r0002,3
54,c0006_r0001,3
54,c0002_r0000,2
54,c0004_r0004,2
54,c0003_r0002,1
54,OTHER,2
55,c0006_r0001,7
55,c0005_r0000,5
55,noise,3
55,c0004_r0003,3
55,c0004_r0000,2
55,c0004_r0004,2
55,c0004_r0002,2
55,c0004_r0001,2
55,OTHER,4
56,c0004_r0002,7
56,c0004_r0000,5
56,c0007_r0001,4
56,c0003_r0000,3
56,c0001_r0000,3
56,noise,2
56,c0003_r0006,2
56,c0002_r0000,1
56,OTHER,4
6,c0004_r0002,10
6,c0004_r0000,6
6,c0002_r0000,3
6,c0004_r0003,2
6,c0000_r0000,1
6,c0007_r0002,1
6,c0004_r0004,1
6,c0004_r0001,1
6,OTHER,1
7,c0004_r0003,30
7,c0003_r0000,20
7,c0004_r0000,11
7,c0000_r0000,8
7,c0004_r0004,8
7,c0004_r0002,4
7,c0007_r0002,4
7,c0006_r0001,4
7,OTHER,20
8,c0004_r0004,3
8,c0003_r0000,3
8,c0003_r0004,3
8,c0003_r0006,3
8,c0004_r0000,3
8,c0004_r0003,3
8,c0007_r0002,1
8,c0001_r0000,1
8,OTHER,1
9,c0004_r0000,8
9,c0007_r0002,3
9,c0003_r0000,3
9,c0003_r0003,3
9,c0003_r0004,2
9,c0005_r0000,2
9,c0007_r0001,1
9,c0003_r0002,1
9,OTHER,5
