doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,topic_cluster
1cc4a41b46338d9f84d4e913,1.136981,4.2737527,9.186796,3.9070377,0.8984994,8.077588,10.746296,9.5322895,6.5186644,9.565107,3.0770133,3.0228074,5.702311,4.2052765,3.5177372,18
1f996bef6081227640b05b32,1.2988827,4.268842,9.829569,4.7230334,1.4257004,8.711781,10.278798,9.150885,7.1031766,9.152,3.3468227,3.2157168,6.212432,4.186458,3.2786176,44
2013925241a2c9f0df290503,1.0232761,4.03919,9.562632,4.3832154,1.3951267,8.631452,10.527992,9.07575,6.5929337,8.914839,3.3006613,3.3208861,5.483011,4.2671695,3.3056958,-1
20df75ea1b6f1526c0ae9193,1.0700111,4.443742,9.764272,4.7330174,1.0344785,8.65299,10.184609,9.330232,6.841675,9.493887,3.0082705,3.5250745,5.819156,4.445565,3.2193074,-1
23e5f13ab07cf7f4ee179280,0.8715063,3.593775,9.906421,4.193571,1.0047693,8.200424,10.13885,9.566704,6.001607,9.287044,3.6557486,3.7173855,4.792117,5.205788,3.0069468,-1
262545b40c3c15a8c606fc75,1.2878112,3.6581504,9.539616,3.966459,0.4482017,8.061845,9.525797,10.450699,5.880489,9.783354,3.2371304,3.1280365,5.5703526,4.9824924,3.5931222,27
270fe2b3332b7542771995f4,1.3654163,3.7968748,9.583302,3.8860476,0.6756293,8.105057,9.586429,10.277317,5.8857355,9.659693,3.163134,2.9979672,5.6174808,4.725457,3.7013998,27
2ca8d7f3a60968f3d24b60b1,1.4991808,3.8015196,9.403025,3.399263,1.1899611,8.541149,10.827614,9.470803,6.307875,9.395287,3.789378,3.561528,5.2607293,5.070178,3.0536625,21
2ce0b7b0558de8fe264a3f21,1.3182211,4.049977,9.2556715,4.1647553,1.0368426,8.716044,9.961175,9.650589,6.5769606,8.870711,2.5961506,2.9468746,6.2432184,4.559119,3.7571387,-1
2e6f1cc06a8cef7864626247,2.0506365,4.29284,8.924664,3.093456,0.78410774,8.533171,10.7760315,9.8690605,6.224807,9.775966,2.9817846,3.07165,5.852982,4.481798,3.4736872,23
31c521d4dfddf5026a635e80,1.2223134,3.5728347,9.640503,4.9422636,1.5650084,8.178692,9.715725,9.796415,6.634769,8.8234215,3.766166,3.189827,5.1253157,4.2838044,3.5006943,15
333d5a4feed6d8fa8101f685,1.0796508,4.029615,9.499125,4.3325815,1.3410361,8.580948,10.60663,9.078516,6.544591,8.991041,3.2608063,3.3033752,5.457529,4.223355,3.3135755,-1
359bc508b6f9bae4c1895e87,1.4322038,3.9775789,10.023066,3.6017296,1.17098,8.021247,9.561179,9.84287,5.5021405,9.203743,2.964513,2.2033722,5.84523,4.390801,4.3190317,28
368f5bcf0060f82a4f28df45,1.828512,4.0909057,9.256569,4.2869644,0.93393564,8.981352,10.512948,9.312867,6.6789846,9.449598,3.0156987,3.4154532,5.558315,4.51789,3.2217379,-1
36b94ca4eb34443d3cfa6d14,1.598886,3.9078758,9.502716,4.066057,1.3324379,7.8538218,9.70677,10.038517,6.1383414,9.336925,3.097987,2.8732512,5.58856,4.048025,3.9719534,31
3b683f3174a101b02148d965,1.1727935,4.3739524,9.171695,3.8068635,1.1200581,8.723675,10.100037,9.819098,6.673516,8.924958,2.664093,2.7493227,6.907345,4.4339247,3.7827961,29
43e6e4fa7db3a193892bb8a3,1.2966242,4.27212,9.339342,4.842239,0.37581336,8.170941,10.075568,10.01919,7.09879,10.228396,3.0900683,3.4501173,5.8348927,4.81063,3.3428664,48
489787055460aad758c4953f,1.1738384,3.877462,8.926675,3.5058584,1.2597477,9.103667,10.82746,9.619671,7.0766087,9.489644,3.7637122,3.6872332,6.8156047,5.1359615,2.9937372,7
489d1081a4b7961f86b81028,0.8710025,4.3960805,9.377717,4.357193,0.7343451,8.374578,10.342553,9.70825,6.398056,9.836116,3.3486786,3.1447423,5.749447,3.9257002,3.1030946,-1
4975e5b8d530a21c9821c653,1.3143597,4.284463,9.852288,4.7425947,1.4463875,8.712185,10.26085,9.162005,7.1005135,9.132485,3.3353384,3.2357848,6.2201715,4.178759,3.2921367,44
4a1ecb427043ae6e5f2d20b3,2.6228583,6.333583,8.683045,2.9166296,0.9846311,9.919432,13.169774,8.644092,8.628674,7.9414268,1.3594364,3.5200546,7.248858,3.944615,3.8085487,-1
4ea5d3c429a8e4903c7638e6,1.5249103,4.6261683,9.23273,3.9119697,0.82905626,8.67079,10.899047,9.240464,6.977646,9.455955,2.5987277,3.086037,6.160009,4.5967655,3.5618837,12
50fc785776bf769b345955a2,1.3509812,4.074057,9.760389,3.8401697,1.0744215,8.358089,9.688301,9.859461,5.9967036,9.269288,2.9938798,2.7740624,5.83763,4.4185925,3.862711,30
51487a0cc11715e20b7c414e,0.9310446,4.226338,9.532395,3.9888957,0.6502401,8.583637,10.247912,9.901105,6.3791265,10.351099,3.8208528,3.7569578,5.5771046,4.7887306,2.7634013,14
514c01278a3a8d478b1d41f1,2.6230826,6.3335876,8.68312,2.9170473,0.98482114,9.919811,13.169446,8.644118,8.62894,7.941152,1.3593518,3.5201697,7.2490106,3.944526,3.8086083,-1
5152de0f949482d055ae7038,2.6230817,6.33358,8.683119,2.9170623,0.98483884,9.919814,13.169452,8.64411,8.628958,7.941137,1.3593619,3.52018,7.2489986,3.9445305,3.8086116,-1
517ed45e51b7e2573ebdd306,2.6250143,6.3365717,8.682192,2.9154418,0.98484486,9.921914,13.172499,8.64327,8.631384,7.939635,1.3572106,3.5206258,7.251136,3.9435604,3.8089838,-1
519ad8b5c3df9b4c28dcda17,1.3086967,4.0533414,9.671927,3.9821415,1.0674173,8.454627,9.793927,9.726213,6.1606154,8.997363,2.7705882,2.634331,6.019067,4.4946012,3.981417,30
541fdc2c3a30c5515a1aff94,1.4758861,3.8827558,9.471558,4.600999,1.0134234,7.746538,10.055902,10.156462,6.8305335,9.432074,3.2503242,2.9176378,5.983823,4.3352084,3.8436613,20
556c59a9b64a40858866ec94,0.98735654,4.4336367,9.216034,4.0007615,1.0393938,9.019935,9.950121,9.804938,6.8065643,9.246541,2.9732852,3.1260798,6.8088746,4.558873,3.4303641,-1
579958611057f087b8bfe8c5,1.1151873,4.2194057,9.4393015,4.3546762,1.2642539,8.611886,10.554113,9.239944,6.6445093,9.181895,3.1710176,3.353693,5.704568,4.162031,3.2564132,-1
589d9315893f4926647d258d,0.90973735,3.867506,9.789724,4.953517,1.4641167,8.464914,9.667044,9.648118,6.6796412,8.780451,3.5676458,3.0668728,5.536566,4.2300673,3.481423,-1
5a91869a77b7e4ddb2d01052,1.0488617,4.1883283,9.308543,4.0757303,0.9977743,8.101022,10.786921,9.336332,6.4429736,9.384129,3.075875,3.1400874,5.4458985,4.189362,3.4500842,18
5cac124b91f28facc5f888e2,1.168523,4.1775846,9.407378,4.538227,0.8013197,8.127256,10.428659,9.750812,7.1842303,9.897504,3.4607089,3.3768387,5.9647017,4.80239,3.2925315,39
6014a0748f8915d8de74c36a,1.4823254,4.4828324,9.414249,4.4296317,0.8636242,9.213341,10.853384,8.697381,7.236308,8.813083,2.2049415,3.2768636,6.187182,4.9144654,3.5344546,56
64ef1acfc71ad31a2ecf052e,1.0765696,4.0891485,9.40111,4.612715,1.432394,8.529999,10.72629,8.872543,6.67234,9.255686,3.0829453,3.7383013,5.0879536,4.2945,3.236534,50
6e7d35614172cd7f4b0c4e4d,0.6191623,3.4646096,9.714927,5.399119,1.3931407,8.404784,10.093012,9.548936,6.72021,8.748605,4.0550365,3.3713264,5.019566,4.009309,3.050755,16
70532cb702ea371f74bbbf1d,0.9882607,3.7359056,9.386103,4.721434,0.15187414,8.023283,9.779083,10.304402,6.48079,9.8994255,3.1590908,3.1477644,5.6855645,4.807755,3.5565135,38
78efcfe9aad0e7395c910821,0.92198026,4.3660774,9.647401,4.915573,0.7948019,9.1216545,10.148115,9.028779,6.8034687,9.357387,3.0309706,3.3048759,5.6450534,4.216205,3.1223927,46
7c88415e50368b91acdcdef2,1.3851875,4.2009854,8.933428,3.8122637,0.56989473,8.127963,10.757963,9.742996,6.472732,9.720147,2.851601,3.01953,5.7802486,4.3418403,3.5757573,18
834f95506aae0b7c5378b220,0.5881954,3.486023,9.679945,5.389102,1.3660941,8.4302025,10.1207285,9.518186,6.72107,8.736361,4.0333467,3.3741915,5.039251,4.0042605,3.0391138,16
844c87730ed7d2be94b7bb53,1.4194338,3.9582841,10.118383,3.5752065,1.2380638,8.051424,9.418032,9.874037,5.37551,9.132987,2.9291136,2.1065829,5.850558,4.386119,4.4128246,28
8d71c493b3ed338f5750a0bf,1.3398715,4.439826,9.372574,4.977971,0.32211736,8.330796,9.988489,9.977416,7.1800623,10.317201,2.9017072,3.4662182,5.94423,4.7606406,3.3512325,48
8e62d9cde08f55e0c7a9ce51,1.3328115,4.0833025,9.738108,3.842528,1.100025,8.344149,9.717498,9.844158,6.020989,9.238596,2.978904,2.676604,5.9364424,4.4231725,3.9269898,30
90cd60d8b88ba1d04fe8e05b,1.5326011,3.777394,9.280298,3.8952627,0.4025236,8.219422,9.688221,10.435302,6.0531197,9.785859,3.0585186,3.1296754,5.731571,4.9447503,3.5676465,27
9f89cd95ec5c3ae45f7cd575,1.1250712,4.5157905,9.600264,4.5058947,0.8996573,8.538789,10.253592,9.595289,6.8357744,9.87304,3.200374,3.7040231,5.5386977,4.621681,3.0854797,-1
a1554f5d8e4ea5237332e2bd,1.1107152,3.6268337,9.547892,4.3952336,1.4118999,8.4162445,10.0660925,9.739666,6.6090755,9.162027,3.8977742,3.5317903,5.244809,4.8335104,3.192091,-1
a5f04753f54863017ed2213a,2.6229086,6.333594,8.683024,2.9166484,0.9846714,9.919475,13.169794,8.644078,8.628759,7.941379,1.359403,3.5200713,7.248915,3.9446287,3.8085814,-1
a6e5899575f46bd5ec658d3a,1.3360099,4.3094106,9.647692,4.4770346,1.487879,8.847574,10.320482,9.313222,7.01104,8.921399,2.9855056,3.4785864,6.308818,4.4989567,3.3443358,-1
aa4c3a710627c0ca0958fb52,0.7371258,4.1244717,9.802085,4.7673554,0.41701022,8.385761,9.709435,9.805518,6.7321553,9.658785,3.3482847,3.0594447,5.2449083,4.8510294,3.5349162,13
ab81371899fb88f5c70847c6,1.5362618,3.9136498,8.90657,3.2677383,1.4439977,9.230374,10.610658,9.718175,6.9310665,9.28442,3.662901,3.5156615,6.942098,5.124238,3.14733,7
abbe82919ee2d9cce969dd96,0.9763731,3.8884242,9.498697,4.92612,0.60894984,8.282584,9.978238,9.768518,6.852759,9.286477,3.0262387,3.046953,5.575171,4.7144923,3.6846778,13
aee26902208addf93aeda779,1.1211473,4.1137447,9.184195,4.118797,0.2548488,8.6689415,10.618915,9.684518,6.2732415,10.040296,3.3058753,3.0072458,5.919095,4.1078806,3.0854485,11
b5e7e8355365b2992ac2eca7,1.5101728,3.780807,9.430831,4.8461967,0.88686323,8.945692,10.680715,8.835528,6.9324574,9.215477,2.9313397,3.50606,5.480313,4.78191,3.292693,55
baa3eb3f1c6ca3c5c5f1f713,1.4515089,4.033313,9.658209,3.760771,1.0361581,8.327735,9.734853,9.940829,5.960708,9.393226,3.0561914,2.8418121,5.771768,4.3964715,3.7970679,30
bd9a605870841a951e980a9f,1.478648,4.485555,9.41149,4.423415,0.8622477,9.212766,10.866651,8.687044,7.240453,8.803758,2.1971195,3.2711449,6.191064,4.918559,3.5382123,56
c0d18374fd93e828b4fe63c5,0.0022414501,3.7110047,10.229804,6.0148497,1.8213495,8.498562,8.989104,9.445529,6.9342012,7.9626875,4.1216297,2.6922884,5.4087563,3.9382296,3.4770484,4
c1147d6ddfc595bec636ac31,1.1068583,4.389243,9.331949,4.823925,0.4117184,8.168456,10.439313,9.874279,7.327417,10.137006,3.0806053,3.519451,5.948148,4.808752,3.2900634,-1
c398e2936969acced752eb9e,1.3237674,4.45994,9.393753,4.9793005,0.34586924,8.364964,9.996825,9.936288,7.1748753,10.285506,2.8953235,3.465843,5.937554,4.7383513,3.3429022,48
